Pos;Squadra;;G;V;N;P;Gf;Gs;Dr;Pt.;Pt. Totali
1;Real Pollo;;26;13;4;9;41;24;17;43;1877,5
2;Godopolisportiva Antonio Ricci;;26;11;8;7;27;18;9;41;1789,5
3;Paris Saint Germano;;26;11;8;7;30;25;5;41;1781
4;AMAGGGICA 1893;;26;10;9;7;36;28;8;39;1851
5;Pompy FC;;26;11;6;9;23;23;0;39;1751
6;Patetico Mineiro;;26;10;8;8;26;26;0;38;1797
7;Ire Framba United;;26;7;9;10;22;26;-4;30;1755
8;MedusaTeam WFC - IL BLOCCO - Atalantus;;26;8;5;13;22;33;-11;29;1748,5
9;Team Barco FC;;26;7;8;11;21;33;-12;29;1736
10;Reggisenal;;26;7;5;14;16;28;-12;26;1731