Informazioni cronologiche,Nome utente,"1° classificato","2° classificato","3° classificato","4° classificato","5° classificato","6° classificato","7° classificato","8° classificato","9° classificato","10° classificato","11° classificato","12° classificato"
10/09/2023 19.58.28,5332606,Pompy FC,Godopolisportiva Antonio Ricci,Patetico Mineiro,Paris Saint Germano,Team Barco F.C.,Reggisenal,Ire Framba United,REAL DAVID,Owl City,YRN F.C.,MedusaTeam WFC - IL BLOCCO,Real Pollo
10/09/2023 20.13.45,5332804,Patetico Mineiro,Paris Saint Germano,Reggisenal,Real Pollo,Ire Framba United,Pompy FC,YRN F.C.,Godopolisportiva Antonio Ricci,Team Barco F.C.,Owl City,MedusaTeam WFC - IL BLOCCO,REAL DAVID
10/09/2023 20.14.37,4480565,Pompy FC,Godopolisportiva Antonio Ricci,Real Pollo,Ire Framba United,REAL DAVID,Paris Saint Germano,Patetico Mineiro,Owl City,MedusaTeam WFC - IL BLOCCO,Reggisenal,YRN F.C.,Team Barco F.C.
10/09/2023 20.17.24,4483105,Patetico Mineiro,Paris Saint Germano,Team Barco F.C.,Real Pollo,Owl City,Ire Framba United,Reggisenal,Pompy FC,YRN F.C.,REAL DAVID,MedusaTeam WFC - IL BLOCCO,Godopolisportiva Antonio Ricci
11/09/2023 11.56.38,4480737,Ire Framba United,YRN F.C.,Patetico Mineiro,Godopolisportiva Antonio Ricci,Reggisenal,Paris Saint Germano,MedusaTeam WFC - IL BLOCCO,Team Barco F.C.,Real Pollo,Pompy FC,Owl City,REAL DAVID
11/09/2023 14.03.45,4485329,Owl City,Patetico Mineiro,Godopolisportiva Antonio Ricci,Real Pollo,Reggisenal,Pompy FC,Paris Saint Germano,YRN F.C.,Team Barco F.C.,Reggisenal,MedusaTeam WFC - IL BLOCCO,REAL DAVID
11/09/2023 14.25.31,5330685,Godopolisportiva Antonio Ricci,Patetico Mineiro,Pompy FC,Ire Framba United,MedusaTeam WFC - IL BLOCCO,Real Pollo,Reggisenal,Team Barco F.C.,YRN F.C.,Owl City,Paris Saint Germano,REAL DAVID
11/09/2023 14.27.22,9242836,YRN F.C.,Patetico Mineiro,Owl City,Pompy FC,Paris Saint Germano,Godopolisportiva Antonio Ricci,Ire Framba United,Real Pollo,MedusaTeam WFC - IL BLOCCO,Reggisenal,REAL DAVID,Team Barco F.C.
12/09/2023 11.57.35,4480837,Owl City,Pompy FC,Real Pollo,Team Barco F.C.,Reggisenal,Patetico Mineiro,Paris Saint Germano,Ire Framba United,Godopolisportiva Antonio Ricci,MedusaTeam WFC - IL BLOCCO,YRN F.C.,REAL DAVID
12/09/2023 16.07.17,10898860,Paris Saint Germano,Godopolisportiva Antonio Ricci,Real Pollo,Pompy FC,Patetico Mineiro,REAL DAVID,Ire Framba United,MedusaTeam WFC - IL BLOCCO,Patetico Mineiro,Reggisenal,Owl City,YRN F.C.
18/09/2023 2.53.31,4481779,Real Pollo,Paris Saint Germano,Owl City,REAL DAVID,Team Barco F.C.,Pompy FC,Godopolisportiva Antonio Ricci,Patetico Mineiro,YRN F.C.,Ire Framba United,Reggisenal,MedusaTeam WFC - IL BLOCCO